A̱o,ConsumoGas
1966M01,92.718
1966M02,91.38
1966M03,111.643
1966M04,118.888
1966M05,119.432
1966M06,127.796
1966M07,158.943
1966M08,178.013
1966M09,143.385
1966M10,127.179
1966M11,114.403
1966M12,124.9
1967M01,113.661
1967M02,108.224
1967M03,142.256
1967M04,129.835
1967M05,150.735
1967M06,149.554
1967M07,185.792
1967M08,201.758
1967M09,166.565
1967M10,148.048
1967M11,131.581
1967M12,141.315
1968M01,135.951
1968M02,126.615
1968M03,146.647
1968M04,165.822
1968M05,163.365
1968M06,169.294
1968M07,215.538
1968M08,233.427
1968M09,184.402
1968M10,178.432
1968M11,155.179
1968M12,163.355
1969M01,154.844
1969M02,143.552
1969M03,171.573
1969M04,188.322
1969M05,192.756
1969M06,195.296
1969M07,252.288
1969M08,268.379
1969M09,218.81
1969M10,203.545
1969M11,172.148
1969M12,198.381
1970M01,179.759
1970M02,173.821
1970M03,211.387
1970M04,210.551
1970M05,218.371
1970M06,232.057
1970M07,294.173
1970M08,312.7
1970M09,251.891
1970M10,235.56
1970M11,202.876
1970M12,224.383
1971M01,193.916
1971M02,188.375
1971M03,236.187
1971M04,249.037
1971M05,235.957
1971M06,258.98
1971M07,321.085
1971M08,334.562
1971M09,276.932
1971M10,258.269
1971M11,233.532
1971M12,251.755
1972M01,225.01
1972M02,225.742
1972M03,265.159
1972M04,271.986
1972M05,290.953
1972M06,285.108
1972M07,362.687
1972M08,386.347
1972M09,314.205
1972M10,292.124
1972M11,261.74
1972M12,291.81
1973M01,268.578
1973M02,256.063
1973M03,312.041
1973M04,326.741
1973M05,315.157
1973M06,353.016
1973M07,403.662
1973M08,451.098
1973M09,356.811
1973M10,352.566
1973M11,305.58
1973M12,410.614
1974M01,289.186
1974M02,296.881
1974M03,302.589
1974M04,334.091
1974M05,325.79
1974M06,337.782
1974M07,423.297
1974M08,454.172
1974M09,353.727
1974M10,353.413
1974M11,315.272
1974M12,341.902
1975M01,317.76
1975M02,298.188
1975M03,363.429
1975M04,350.203
1975M05,372.149
1975M06,371.877
1975M07,472.458
1975M08,485.517
1975M09,406.223
1975M10,377.262
1975M11,329.794
1975M12,384.35
1976M01,352.2
1976M02,334.938
1976M03,372.891
1976M04,397.388
1976M05,385.657
1976M06,416.961
1976M07,492.48
1976M08,512.209
1976M09,411.514
1976M10,392.38
1976M11,369.671
1976M12,400.243
1977M01,363.367
1977M02,342.979
1977M03,384.936
1977M04,421.718
1977M05,402.877
1977M06,427.615
1977M07,538.254
1977M08,528.007
